TechCSV1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#separator;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;;;;Variable;Variable;Variable;Variable;;;;;;;;;;;;;;;;
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD;;;;;;;;;;;;;;;;
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY;;;;;;;;;;;;;;;;
171;171;-2727,472444;18,2672;67,7005;2,3782;;;;0,2231;0,19;0,169;17,5439;;;;;;;;;;;;;;;;
171;171;-2727,459037;18,3048;68,7481;2,3592;;;;0,223;0,2002;0,1795;22,9788;;;;;;;;;;;;;;;;
171;171;-2727,44563;18,3528;69,1465;2,3435;;;;0,2225;0,2089;0,1884;27,8863;;;;;;;;;;;;;;;;
171;171;-2727,432223;18,2882;68,2993;2,3351;;;;0,2223;0,212;0,1938;31,9227;;;;;;;;;;;;;;;;
171;171;-2727,418816;18,2927;68,5285;2,3304;;;;0,2221;0,2152;0,1977;33,6238;;;;;;;;;;;;;;;;
171;171;-2727,405408;18,3612;69,7536;2,329;;;;0,2219;0,2183;0,2001;33,1681;;;;;;;;;;;;;;;;
171;171;-2727,392001;18,4518;70,3301;2,3262;;;;0,2222;0,2246;0,2021;29,1704;;;;;;;;;;;;;;;;
171;171;-2727,378594;18,5673;70,8765;2,3247;;;;0,2225;0,228;0,2036;26,3598;;;;;;;;;;;;;;;;
171;171;-2727,365187;18,7105;71,3934;2,3246;;;;0,223;0,2281;0,2046;24,8936;;;;;;;;;;;;;;;;
171;171;-2727,35178;18,817;71,2033;2,3219;;;;0,2227;0,2267;0,2045;27,2972;;;;;;;;;;;;;;;;
171;171;-2727,338373;18,9254;70,8683;2,321;;;;0,2223;0,2231;0,2038;30,8381;;;;;;;;;;;;;;;;
171;171;-2727,324966;19,0386;70,3917;2,3227;;;;0,222;0,2166;0,2023;35,6233;;;;;;;;;;;;;;;;
171;171;-2727,311559;19,2367;70,9155;2,3253;;;;0,2219;0,215;0,2006;36,9517;;;;;;;;;;;;;;;;
171;171;-2727,298152;19,4628;71,0525;2,3272;;;;0,2219;0,2154;0,1995;36,3041;;;;;;;;;;;;;;;;
171;171;-2727,284744;19,7184;70,3611;2,328;;;;0,222;0,2183;0,1995;33,0062;;;;;;;;;;;;;;;;
171;171;-2727,271337;19,9211;71,1037;2,3266;;;;0,2217;0,2201;0,2003;31,0271;;;;;;;;;;;;;;;;
171;171;-2727,25793;20,1165;71,1886;2,3251;;;;0,2213;0,2212;0,201;29,925;;;;;;;;;;;;;;;;
171;171;-2727,244523;20,3173;69,4162;2,324;;;;0,221;0,2211;0,2014;30,1439;;;;;;;;;;;;;;;;
171;171;-2727,231116;20,5498;68,6446;2,3293;;;;0,2201;0,2195;0,2001;29,1397;;;;;;;;;;;;;;;;
171;171;-2727,217709;20,7359;67,7924;2,3361;;;;0,2194;0,2165;0,198;27,8377;;;;;;;;;;;;;;;;
171;171;-2727,204302;20,7847;66,0934;2,3432;;;;0,2191;0,2111;0,1946;26,5421;;;;;;;;;;;;;;;;
171;171;-2727,190895;20,849;66,5856;2,3481;;;;0,2192;0,2068;0,1912;26,6697;;;;;;;;;;;;;;;;
171;171;-2727,177488;20,9345;67,5883;2,3512;;;;0,2194;0,2025;0,1882;27,7479;;;;;;;;;;;;;;;;
171;171;-2727,16408;21,0731;67,9445;2,351;;;;0,2193;0,1966;0,1863;30,4384;;;;;;;;;;;;;;;;
171;171;-2727,150673;21,1508;69,527;2,3478;;;;0,2198;0,1996;0,1865;31,3623;;;;;;;;;;;;;;;;
171;171;-2727,137266;21,1962;70,9663;2,344;;;;0,2205;0,2053;0,1878;31,1969;;;;;;;;;;;;;;;;
171;171;-2727,123859;21,2084;69,5146;2,3424;;;;0,2209;0,2075;0,1901;29,4431;;;;;;;;;;;;;;;;
171;171;-2727,110452;21,1772;69,0891;2,3389;;;;0,2213;0,2103;0,1921;28,6639;;;;;;;;;;;;;;;;
171;171;-2727,097045;21,1219;69,2472;2,3358;;;;0,2216;0,213;0,1936;28,0835;;;;;;;;;;;;;;;;
171;171;-2727,083638;21,0561;69,7564;2,3402;;;;0,2223;0,2134;0,1936;25,574;;;;;;;;;;;;;;;;
171;171;-2727,070231;20,9585;69,9235;2,345;;;;0,224;0,2135;0,1928;22,3823;;;;;;;;;;;;;;;;
171;171;-2727,056824;20,8317;69,6719;2,3499;;;;0,2261;0,2137;0,1916;18,8506;;;;;;;;;;;;;;;;
171;171;-2727,043416;20,6044;67,3388;2,3535;;;;0,2264;0,2172;0,1912;16,2004;;;;;;;;;;;;;;;;
171;171;-2727,030009;20,3998;66,2991;2,3553;;;;0,2261;0,2171;0,191;14,7304;;;;;;;;;;;;;;;;
171;171;-2727,016602;20,2146;66,2802;2,3558;;;;0,2254;0,2146;0,1908;14,2018;;;;;;;;;;;;;;;;
171;171;-2727,003195;20,0544;66,586;2,3564;;;;0,2248;0,2171;0,1908;14,3085;;;;;;;;;;;;;;;;
171;171;-2726,989788;19,8859;67,9098;2,3536;;;;0,2256;0,217;0,1911;14,9623;;;;;;;;;;;;;;;;
171;171;-2726,976381;19,7092;70,1903;2,3476;;;;0,2275;0,2146;0,1916;16,1295;;;;;;;;;;;;;;;;
171;171;-2726,962974;19,5567;68,9694;2,35;;;;0,227;0,2163;0,1922;16,3582;;;;;;;;;;;;;;;;
171;171;-2726,949567;19,371;69,2758;2,35;;;;0,228;0,2202;0,1933;15,5655;;;;;;;;;;;;;;;;
171;171;-2726,93616;19,1464;71,3561;2,3472;;;;0,231;0,2264;0,1948;13,6239;;;;;;;;;;;;;;;;
171;171;-2726,922752;18,8987;72,287;2,3438;;;;0,227;0,2269;0,1965;14,0501;;;;;;;;;;;;;;;;
171;171;-2726,909345;18,7072;73,0636;2,3377;;;;0,2238;0,2258;0,198;17,0171;;;;;;;;;;;;;;;;
171;171;-2726,895938;18,5951;73,7226;2,328;;;;0,2224;0,2231;0,1993;23,2876;;;;;;;;;;;;;;;;
171;171;-2726,882531;18,4985;72,6546;2,3238;;;;0,2228;0,2142;0,1994;34,2323;;;;;;;;;;;;;;;;
171;171;-2726,869124;18,4091;71,7792;2,323;;;;0,223;0,2096;0,1992;41,7592;;;;;;;;;;;;;;;;
171;171;-2726,855717;18,3295;71,5737;2,327;;;;0,2226;0,2136;0,1988;42,5758;;;;;;;;;;;;;;;;
171;171;-2726,84231;18,2111;73,0884;2,3282;;;;0,2215;0,2192;0,1993;34,5894;;;;;;;;;;;;;;;;
171;171;-2726,828903;18,1456;75,2283;2,3286;;;;0,2207;0,2238;0,1998;26,9027;;;;;;;;;;;;;;;;
171;171;-2726,815496;18,2058;78,0157;2,3282;;;;0,2207;0,2254;0,2;23,1231;;;;;;;;;;;;;;;;
171;171;-2726,802088;18,2022;79,145;2,3279;;;;0,2207;0,2231;0,1995;23,1973;;;;;;;;;;;;;;;;
171;171;-2726,788681;18,1862;79,1278;2,3276;;;;0,2206;0,2202;0,1988;25,034;;;;;;;;;;;;;;;;
171;171;-2726,775274;18,1799;77,206;2,3273;;;;0,2201;0,2178;0,1981;28,9658;;;;;;;;;;;;;;;;
171;171;-2726,761867;18,2739;74,7935;2,328;;;;0,22;0,213;0,1973;33,8482;;;;;;;;;;;;;;;;
171;171;-2726,74846;18,3863;72,6965;2,3291;;;;0,2201;0,2091;0,1967;38,1275;;;;;;;;;;;;;;;;
171;171;-2726,735053;18,4491;72,1875;2,3303;;;;0,22;0,2113;0,1965;39,3093;;;;;;;;;;;;;;;;
171;171;-2726,721646;18,5247;72,0021;2,3289;;;;0,2197;0,2127;0,1972;38,5644;;;;;;;;;;;;;;;;
171;171;-2726,708239;18,5954;71,7965;2,3266;;;;0,2193;0,2143;0,1984;37,009;;;;;;;;;;;;;;;;
171;171;-2726,694832;18,6188;70,8836;2,3255;;;;0,2192;0,2193;0,2;35,4581;;;;;;;;;;;;;;;;
171;171;-2726,681424;18,7118;70,304;2,3248;;;;0,2195;0,219;0,2006;35,3315;;;;;;;;;;;;;;;;
171;171;-2726,668017;18,8337;69,8834;2,3249;;;;0,2199;0,2161;0,2007;36,129;;;;;;;;;;;;;;;;
171;171;-2726,65461;18,9027;69,377;2,3284;;;;0,22;0,2134;0,1993;38,0804;;;;;;;;;;;;;;;;
171;171;-2726,641203;19,0064;69,8551;2,3297;;;;0,2197;0,2119;0,1979;38,8398;;;;;;;;;;;;;;;;
171;171;-2726,627591;19,1155;70,9913;2,3299;;;;0,2192;0,2109;0,1967;38,6923;;;;;;;;;;;;;;;;
171;171;-2726,612138;19,0358;72,3585;2,333;;;;0,2192;0,2095;0,1955;37,0127;;;;;;;;;;;;;;;;
171;171;-2726,596684;19,0045;72,033;2,3354;;;;0,2196;0,2104;0,1949;34,151;;;;;;;;;;;;;;;;
