TechCSV1.0;;;;;;;;;;;;
#separator;;;;;;;;;;;;
;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;
yes;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY
170;170;-2792,148054;20,2493;76,7191;2,4926;250,74;440,83;714,74;224,9934;0,2946;0,1544;0,0219
170;170;-2792,090282;19,9983;77,4046;2,4962;250,74;441,15;715,14;226,9133;0,2969;0,1513;0,017
170;170;-2792,032509;19,5906;78,1486;2,4999;250,74;441,39;715,5;227,9105;0,2994;0,1485;0,0135
170;170;-2791,974737;19,0257;78,9535;2,5037;250,74;441,51;715,82;227,9149;0,302;0,146;0,011
170;170;-2791,916964;19,5085;78,8695;2,5044;250,72;441,37;716,07;227,6132;0,3045;0,1458;0,0105
170;170;-2791,859192;20,2471;78,2656;2,5025;250,7;441;716,16;226,1546;0,306;0,1471;0,011
170;170;-2791,80142;21,2791;77,0405;2,4972;250,66;440,36;716,11;223,2271;0,3064;0,1502;0,0128
170;170;-2791,743647;20,6709;75,0268;2,4902;250,59;439,28;715,88;221,9117;0,3081;0,1542;0,0177
170;170;-2791,685875;19,5292;73,5735;2,4811;250,5;438,07;715,42;220,5806;0,307;0,1579;0,0251
170;170;-2791,628102;17,8809;73,1289;2,4689;250,34;436,74;714,93;218,9749;0,3009;0,1612;0,0367
170;170;-2791,57033;17,5544;73,9022;2,4618;250,06;435,51;714,44;218,9084;0,2967;0,1631;0,0471
